No,Implementation Choices for Key Activities ,Company,Description
1,Align inventory with production ? Kanban ,Toyota,
2,Authentic guest reviews ,Airbnb,
3,Automate assembly ,Swatch,Sistem 51
4,Automate advertising platform ,Verizon,
5,Automate license management ,Zeiss,
6,Be close to the customers ,Red Bull,
7,Build a customization engine ,"Harley Davison, BMW",
8,Build a media house as a complement to core business ,Red Bull,
9,Build a recommendation engine ,"Netflix, Amazon",
10,Build a search Engine for locating cars nearest to a customer ,Relay Rides,
11,Build a strong brand ,"Harley Davidson, Philip Morris, Red Bull",
12,Build an army of sales people ,Wurth,
13,,,
14,Build and operate platform ,Alibaba,for B2B
15,Build and operate platform ,Alibaba,TMall / Taobao Mall for B2C
16,Build and operate platform ,Alibaba,AliExpress for small quantity purchase with escrow
17,Build and operate platform ,Alibaba,Taobaoÿ for C2C
18,Build and operate platform for escrow based payment,Alibaba,Alipay
19,Build and operate platform as a service ,Cisco Systems,
20,Build and operate platform for customization ,"Harley Davidson, BMW",
21,Build and operate platform for crowd sourced innovations ,Innocentive,
22,Bundle tools required for assembly ,IKEA,
23,Buy used equipment where it makes sense ,Ryan Air,
24,Change image from feminine to a rugged cow-boy ,Philip Morris,
25,Build tools for co-creation with customers ,Harley Davidson,
26,Build tools to measure customer satisfaction ,Wipro,
27,Control distribution of your products ,SEGA,
28,Create 1000 designs per month ,Zara,
29,Create a barter management system ,Magnolia Hotels,
30,Create a better user experience design ,Pinterest,
31,Create a mechanism to drive viral growth ,signature - Hotmail,
32,Create a second line of customers ,Threadless music,
33,Create a strong brand ,"Harley Davidson, Philip Morris",
34,Create a system for immediate triggering of a customized product ,Adidas,
35,Create convenient sizes / packaging ,"My Muesli, Camel",
36,Create good designs ,"Six Flags, Threadless",
37,Create interesting stories that solve the pains of an average housewife ,Tupperware,
38,Create lighter products ,GoPro,
39,Create loyalty programme management systems ,Sperry and Hutchinson,
40,Create merchandise that support experience ,"Disney, Harley Davidson",
41,Create multisided marketplaces for crowdfunding ,"Kick starter, Indiegogo",
42,Create marketplace platforms for crowdsourcing ,"Wikipedia,?",
43,Create one stop for all customer needs ,Southwest,
44,Create technologies and platforms for personalization ,"Adidas,ÿ PersonalNOVEL, My Muesli, Levis",
45,Create Products that are addictive ,Philip Morris,
46,Create variations of a single product ,"Six Flags, Nespresso ",
47,Create virtual environment for customization / personalization ,"BMW, Ducati",
48,Crowd source content ,"Wikipedia, YouTube",
49,Crowd source designs ,Threadless,
50,Crowd source requirements ,Tchibo,
51,Crowd source Testing ,Mozilla,
52,Develop customer verification system ,Airbnb,
53,Manufacture Customized products ,BMW M division,
54,Operate dedicated passenger terminals in airports ,NetJets,
55,Design and build knock down kits ,IKEA,
56,Design and build assembly line to reduce change over time ,Toyota,
57,"Design and build a bar chart view for profitability, workload, travel time and contract value ",Schindler,
58,"Design and build a list view for location, routes and scheduled visits ",Schindler,
59,Design and build map view for routes with predetermined colours and symbols ,Schindler,.
60,Design and build multiple views of operations ,Schindler,
61,Design and build royalty payment algorithm ,Spotify,
62,Design and build solutions for non-professional bikers ,Shimano,
63,Design and build stores with processes that require less space ,"Subway, Zara",
